Country,ISO,State,City,Label
USA,USA,Georgia,Miller,210
USA,USA,Georgia,Upson,210
USA,USA,Georgia,Hancock,210
USA,USA,Georgia,Laurens,210
USA,USA,Georgia,Cherokee,210
USA,USA,Georgia,Terrell,210
USA,USA,Georgia,Bleckley,210
USA,USA,Georgia,Dodge,210
USA,USA,Georgia,Lee,210
USA,USA,Georgia,Clarke,210
USA,USA,Georgia,Towns,210
USA,USA,Georgia,Jones,210
USA,USA,Georgia,Butts,210
USA,USA,Georgia,Houston,210
USA,USA,Georgia,Crisp,210
USA,USA,Georgia,Clayton,210
USA,USA,Georgia,Madison,210
USA,USA,Georgia,Effingham,210
USA,USA,Georgia,Lincoln,210
USA,USA,Georgia,Haralson,210
USA,USA,Georgia,Jenkins,210
USA,USA,Georgia,Whitfield,210
USA,USA,Georgia,Jefferson,210
USA,USA,Georgia,Worth,210
USA,USA,Georgia,Telfair,210
USA,USA,Georgia,Screven,210
USA,USA,Georgia,Greene,210
USA,USA,Georgia,Chatham,210
USA,USA,Georgia,Troup,210
USA,USA,Georgia,Hart,210
USA,USA,Georgia,Brantley,210
USA,USA,Georgia,Morgan,210
USA,USA,Georgia,Pierce,210
USA,USA,Georgia,Bryan,210
USA,USA,Georgia,Baldwin,210
USA,USA,Georgia,Harris,210
USA,USA,Georgia,Glynn,210
USA,USA,Georgia,Tattnall,210
USA,USA,Georgia,Talbot,210
USA,USA,Georgia,Seminole,210
USA,USA,Georgia,Coffee,210
USA,USA,Georgia,Tift,210
USA,USA,Georgia,Grady,210
USA,USA,Georgia,Bulloch,210
USA,USA,Georgia,Berrien,210
USA,USA,Georgia,Clay,210
USA,USA,Georgia,Pulaski,210
USA,USA,Georgia,Wilcox,210
USA,USA,Georgia,Heard,210
USA,USA,Georgia,Appling,210
USA,USA,Georgia,Atkinson,210
USA,USA,Georgia,Marion,210
USA,USA,Georgia,Johnson,210
USA,USA,Georgia,Clinch,210
USA,USA,Georgia,Washington,210
USA,USA,Georgia,Ben Hill,210
USA,USA,Georgia,Dooly,210
USA,USA,Georgia,Lowndes,210
USA,USA,Georgia,Wayne,210
USA,USA,Georgia,McDuffie,210
USA,USA,Georgia,Ware,210
USA,USA,Georgia,Mitchell,210
USA,USA,Georgia,Burke,210
USA,USA,Georgia,Jeff Davis,210
USA,USA,Georgia,Charlton,210
USA,USA,Georgia,Toombs,210
USA,USA,Georgia,Liberty,210
USA,USA,Georgia,Colquitt,210
USA,USA,Georgia,Camden,210
USA,USA,Georgia,Cook,210
USA,USA,Georgia,Dougherty,210
USA,USA,Georgia,Wilkinson,210
USA,USA,Georgia,Irwin,210
USA,USA,Georgia,Treutlen,210
USA,USA,Georgia,Montgomery,210
USA,USA,Georgia,Long,210
USA,USA,Georgia,Candler,210
USA,USA,Georgia,Wheeler,210
USA,USA,Georgia,McIntosh,210
USA,USA,Georgia,Early,210
USA,USA,Georgia,Glascock,210
USA,USA,Georgia,Quitman,210
USA,USA,Georgia,Taliaferro,210
USA,USA,Hawaii,Kauai,210
USA,USA,Hawaii,Hawaii,210
USA,USA,Hawaii,Maui,210
USA,USA,Hawaii,Honolulu,210
USA,USA,Hawaii,Kalawao,210
USA,USA,Idaho,Benewah,210
USA,USA,Idaho,Lincoln,210
USA,USA,Idaho,Bonner,210
USA,USA,Idaho,Lewis,210
USA,USA,Idaho,Boundary,210
USA,USA,Idaho,Clark,210
USA,USA,Idaho,Lemhi,210
USA,USA,Idaho,Shoshone,210
USA,USA,Idaho,Adams,210
USA,USA,Idaho,Bonneville,210
USA,USA,Idaho,Oneida,210
USA,USA,Idaho,Butte,210
USA,USA,Idaho,Kootenai,210
USA,USA,Idaho,Franklin,210
USA,USA,Idaho,Custer,210
USA,USA,Idaho,Jefferson,210
USA,USA,Idaho,Madison,210
USA,USA,Idaho,Elmore,210
USA,USA,Idaho,Valley,210
USA,USA,Idaho,Idaho,210
USA,USA,Idaho,Fremont,210
USA,USA,Idaho,Teton,210
USA,USA,Idaho,Bannock,210
USA,USA,Idaho,Ada,210
USA,USA,Idaho,Blaine,210
USA,USA,Idaho,Power,210
USA,USA,Idaho,Gem,210
USA,USA,Idaho,Bingham,210
USA,USA,Idaho,Caribou,210
USA,USA,Idaho,Jerome,210
USA,USA,Idaho,Canyon,210
USA,USA,Idaho,Owyhee,210
USA,USA,Idaho,Clearwater,210
USA,USA,Idaho,Twin Falls,210
USA,USA,Idaho,Nez Perce,210
USA,USA,Idaho,Gooding,210
USA,USA,Idaho,Boise,210
USA,USA,Idaho,Payette,210
USA,USA,Idaho,Camas,210
USA,USA,Idaho,Washington,210
USA,USA,Idaho,Latah,210
USA,USA,Idaho,Minidoka,210
USA,USA,Idaho,Cassia,210
USA,USA,Idaho,Bear Lake,210
USA,USA,Indiana,DeKalb,210
USA,USA,Indiana,Huntington,210
USA,USA,Indiana,Steuben,210
USA,USA,Indiana,Fountain,210
USA,USA,Indiana,Grant,210
USA,USA,Indiana,Wabash,210
USA,USA,Indiana,Union,210
USA,USA,Indiana,Noble,210
USA,USA,Indiana,Howard,210
USA,USA,Indiana,Whitley,210
USA,USA,Indiana,Allen,210
USA,USA,Indiana,Kosciusko,210
USA,USA,Indiana,Rush,210
USA,USA,Indiana,Blackford,210
USA,USA,Indiana,Jennings,210
USA,USA,Indiana,Elkhart,210
USA,USA,Indiana,Wells,210
USA,USA,Indiana,Jefferson,210
USA,USA,Indiana,Marshall,210
USA,USA,Indiana,Fulton,210
USA,USA,Indiana,Jasper,210
USA,USA,Indiana,Scott,210
USA,USA,Indiana,White,210
USA,USA,Indiana,Shelby,210
USA,USA,Indiana,Warren,210
USA,USA,Indiana,Henry,210
